,precision,recall,f1-score,support
Bedlington_terrier,1.0,1.0,1.0,24.0
Saint_Bernard,1.0,1.0,1.0,24.0
keeshond,1.0,1.0,1.0,28.0
komondor,1.0,0.9545454545454546,0.9767441860465116,22.0
Sussex_spaniel,1.0,0.9473684210526315,0.972972972972973,19.0
affenpinscher,1.0,0.9285714285714286,0.9629629629629629,28.0
Afghan_hound,0.926829268292683,1.0,0.9620253164556962,38.0
chow,0.96,0.96,0.96,25.0
clumber,0.96,0.96,0.96,25.0
borzoi,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Dandie_Dinmont,0.9428571428571428,0.9705882352941176,0.9565217391304348,34.0
African_hunting_dog,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
papillon,0.967741935483871,0.9375,0.9523809523809523,32.0
Saluki,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Pomeranian,1.0,0.8918918918918919,0.9428571428571428,37.0
German_short-haired_pointer,0.92,0.9583333333333334,0.9387755102040817,24.0
Leonberg,0.9354838709677419,0.9354838709677419,0.9354838709677419,31.0
Ibizan_hound,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0
Rottweiler,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0
Weimaraner,0.9629629629629629,0.896551724137931,0.9285714285714286,29.0
Mexican_hairless,1.0,0.8571428571428571,0.9230769230769231,28.0
Gordon_setter,0.92,0.92,0.92,25.0
malinois,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
Brabancon_griffon,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
Blenheim_spaniel,1.0,0.8461538461538461,0.9166666666666666,26.0
Japanese_spaniel,0.9285714285714286,0.896551724137931,0.9122807017543859,29.0
dhole,0.8666666666666667,0.9629629629629629,0.9122807017543859,27.0
Scotch_terrier,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
Border_terrier,0.8695652173913043,0.9523809523809523,0.9090909090909091,21.0
Irish_setter,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
Sealyham_terrier,1.0,0.8285714285714286,0.90625,35.0
bloodhound,0.8285714285714286,1.0,0.90625,29.0
Old_English_sheepdog,0.8529411764705882,0.9666666666666667,0.90625,30.0
Airedale,0.8285714285714286,1.0,0.90625,29.0
Norwegian_elkhound,0.8409090909090909,0.9736842105263158,0.9024390243902439,38.0
otterhound,0.9583333333333334,0.8518518518518519,0.9019607843137255,27.0
bluetick,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
Maltese_dog,0.926829268292683,0.8636363636363636,0.8941176470588236,44.0
miniature_pinscher,0.9354838709677419,0.8529411764705882,0.8923076923076924,34.0
cocker_spaniel,0.8695652173913043,0.9090909090909091,0.8888888888888888,22.0
French_bulldog,1.0,0.8,0.8888888888888888,25.0
Bernese_mountain_dog,0.8125,0.9629629629629629,0.8813559322033898,27.0
pug,0.8125,0.9629629629629629,0.8813559322033898,27.0
cairn,0.8181818181818182,0.9473684210526315,0.8780487804878049,19.0
golden_retriever,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0
Newfoundland,0.84375,0.9,0.8709677419354839,30.0
Welsh_springer_spaniel,0.8846153846153846,0.8518518518518519,0.8679245283018868,27.0
